,id,usingOptaId,imageUrl,pageUrl,shirt,isHomeTeam,timeSubbedOn,timeSubbedOff,usualPosition,positionRow,role,events,name.firstName,name.lastName,events.sub.subbedOut,match_id,teamid,events.as,events.g,minutesPlayed,shotmap,stats,rating.num,rating.bgcolor,rating.isTop.isTopRating,rating.isTop.isMatchFinished,fantasyScore.bgcolor,teamData.home.id,teamData.home.color,teamData.away.id,teamData.away.color,events.ycrc,events.yc,events.rc,events.og
0,18382,False,https://images.fotmob.com/image_resources/playerimages/18382.png,/players/18382/matias-perez-garcia,10,False,,81,2,4,Midfielder,,Matias Perez,Garcia,81.0,1883633,6603.0,,,,,,,,,,,,,,,,,,
0,120008,False,https://images.fotmob.com/image_resources/playerimages/120008.png,/players/120008/shea-salinas,6,False,,89.0,2,3,Midfielder,,Shea,Salinas,89.0,1883633,6603.0,,,,,,,,,,,,,,,,,,
1,526967,False,https://images.fotmob.com/image_resources/playerimages/526967.png,/players/526967/jeffrey-koval,15,False,,60.0,2,3,Midfielder,,Jeffrey,Koval,60.0,1883633,6603.0,,,,,,,,,,,,,,,,,,
2,46221,False,https://images.fotmob.com/image_resources/playerimages/46221.png,/players/46221/jean-baptiste-pierazzi,80,False,,,2,3,Midfielder,,Jean-Baptiste,Pierazzi,,1883633,6603.0,,,,,,,,,,,,,,,,,,
3,172890,False,https://images.fotmob.com/image_resources/playerimages/172890.png,/players/172890/sanna-nyassi,17,False,,,2,3,Midfielder,,Sanna,Nyassi,,1883633,6603.0,,,,,,,,,,,,,,,,,,
0,198463,False,https://images.fotmob.com/image_resources/playerimages/198463.png,/players/198463/shaun-francis,20,False,,,1,1,Defender,,Shaun,Francis,,1883633,6603.0,,,,,,,,,,,,,,,,,,
1,98378,False,https://images.fotmob.com/image_resources/playerimages/98378.png,/players/98378/paulo-renato,38,False,,,1,1,Defender,,Paulo,Renato,,1883633,6603.0,,,,,,,,,,,,,,,,,,
2,164694,False,https://images.fotmob.com/image_resources/playerimages/164694.png,/players/164694/victor-bernardez,5,False,,,1,1,Defender,,Victor,Bernardez,,1883633,6603.0,,,,,,,,,,,,,,,,,,
3,70319,False,https://images.fotmob.com/image_resources/playerimages/70319.png,/players/70319/marvell-wynne,4,False,,,1,1,Defender,,Marvell,Wynne,,1883633,6603.0,,,,,,,,,,,,,,,,,,
0,254996,False,https://images.fotmob.com/image_resources/playerimages/254996.png,/players/254996/david-bingham,1,False,,,0,0,Keeper,,David,Bingham,,1883633,6603.0,,,,,,,,,,,,,,,,,,
0,168183,False,https://images.fotmob.com/image_resources/playerimages/168183.png,/players/168183/tyler-deric,1,True,,,0,0,Keeper,,Tyler,Deric,,1883630,8259.0,,,,,,,,,,,,,,,,,,
0,254830,False,https://images.fotmob.com/image_resources/playerimages/254830.png,/players/254830/kofi-sarkodie,2,True,,,1,1,Defender,,Kofi,Sarkodie,,1883630,8259.0,,,,,,,,,,,,,,,,,,
1,230993,False,https://images.fotmob.com/image_resources/playerimages/230993.png,/players/230993/raul-rodriguez,5,True,,90.0,1,1,Defender,,Raul,Rodriguez,90.0,1883630,8259.0,,,,,,,,,,,,,,,,,,
2,254832,False,https://images.fotmob.com/image_resources/playerimages/254832.png,/players/254832/jermaine-taylor,4,True,,,1,1,Defender,,Jermaine,Taylor,,1883630,8259.0,,,,,,,,,,,,,,,,,,
3,38837,False,https://images.fotmob.com/image_resources/playerimages/38837.png,/players/38837/damarcus-beasley,7,True,,,1,1,Defender,,DaMarcus,Beasley,,1883630,8259.0,,,,,,,,,,,,,,,,,,
0,198744,False,https://images.fotmob.com/image_resources/playerimages/198744.png,/players/198744/boniek-garcia,27,True,,,2,3,Midfielder,,Boniek,Garcia,,1883630,8259.0,,,,,,,,,,,,,,,,,,
1,49550,False,https://images.fotmob.com/image_resources/playerimages/49550.png,/players/49550/ricardo-a.-clark,13,True,,,2,3,Midfielder,,Ricardo A.,Clark,,1883630,8259.0,,,,,,,,,,,,,,,,,,
2,335493,False,https://images.fotmob.com/image_resources/playerimages/335493.png,/players/335493/luis-garrido,8,True,,,2,3,Midfielder,,Luis,Garrido,,1883630,8259.0,,,,,,,,,,,,,,,,,,
3,69740,False,https://images.fotmob.com/image_resources/playerimages/69740.png,/players/69740/brad-davis,11,True,,,2,3,Midfielder,,Brad,Davis,,1883630,8259.0,,,,,,,,,,,,,,,,,,
0,23019,False,https://images.fotmob.com/image_resources/playerimages/23019.png,/players/23019/giles-barnes,10,True,,90,3,5,Attacker,,Giles,Barnes,90.0,1883630,8259.0,,,,,,,,,,,,,,,,,,
1,254828,False,https://images.fotmob.com/image_resources/playerimages/254828.png,/players/254828/will-bruin,12,True,,57,3,5,Attacker,,Will,Bruin,57.0,1883630,8259.0,,,,,,,,,,,,,,,,,,
0,69675,False,https://images.fotmob.com/image_resources/playerimages/69675.png,/players/69675/kei-ansu-kamara,23,False,,,3,5,Attacker,,Kei Ansu,Kamara,,1883630,6001.0,,,,,,,,,,,,,,,,,,
0,91935,False,https://images.fotmob.com/image_resources/playerimages/91935.png,/players/91935/kristinn-steindorsson,7,False,,80.0,2,3,Midfielder,,Kristinn,Steindorsson,80.0,1883630,6001.0,,,,,,,,,,,,,,,,,,
1,36098,False,https://images.fotmob.com/image_resources/playerimages/36098.png,/players/36098/federico-higuain,10,False,,75.0,2,3,Midfielder,,Federico,Higuain,75.0,1883630,6001.0,,,,,,,,,,,,,,,,,,
2,308889,False,https://images.fotmob.com/image_resources/playerimages/308889.png,/players/308889/ethan-finlay,13,False,,,2,3,Midfielder,,Ethan,Finlay,,1883630,6001.0,,,,,,,,,,,,,,,,,,
